id,date,week,time_slot,total_user_time_spent_in_mins,total_ads_watched_in_mins,ads_clicked,user_time_spent_versionB_in_mins,ads_watched_vesionB_in_mins,ads_clicked_versionB
0,"Monday, June 1, 2020",1,00:00-05:59,409671,26195,22,299059,24164,13
1,"Monday, June 1, 2020",1,06:00-11:59,346173,865,5,121160,865,2
2,"Monday, June 1, 2020",1,12:00-17:59,424768,11682,29,250613,2453,18
3,"Monday, June 1, 2020",1,18:00-23:59,512302,11435,0,379103,11435,0
4,"Tuesday, June 2, 2020",1,00:00-05:59,336584,24788,20,195218,10553,6
5,"Tuesday, June 2, 2020",1,06:00-11:59,336586,22776,36,84146,124,14
6,"Tuesday, June 2, 2020",1,12:00-17:59,517921,46207,5,326290,3043,1
7,"Tuesday, June 2, 2020",1,18:00-23:59,436743,3796,9,196534,3796,3
8,"Wednesday, June 3, 2020",1,00:00-05:59,313052,13208,15,175309,4143,7
9,"Wednesday, June 3, 2020",1,06:00-11:59,414256,1234,9,107706,1234,2
10,"Wednesday, June 3, 2020",1,12:00-17:59,313658,6857,0,100370,4831,0
11,"Wednesday, June 3, 2020",1,18:00-23:59,313427,15839,15,150444,13008,10
12,"Thursday, June 4, 2020",1,00:00-05:59,384196,1019,4,169046,1019,1
13,"Thursday, June 4, 2020",1,06:00-11:59,168671,3353,19,67468,1110,14
14,"Thursday, June 4, 2020",1,12:00-17:59,187508,12185,5,52502,11,2
15,"Thursday, June 4, 2020",1,18:00-23:59,303771,16553,30,121508,4743,20
16,"Friday, June 5, 2020",1,00:00-05:59,258716,5703,7,157816,5703,5
17,"Friday, June 5, 2020",1,06:00-11:59,391424,23065,11,117427,9219,4
18,"Friday, June 5, 2020",1,12:00-17:59,269197,21789,23,80759,2303,9
19,"Friday, June 5, 2020",1,18:00-23:59,218769,142,2,155325,142,0
20,"Saturday, June 6, 2020",1,00:00-05:59,506564,40819,17,283675,20722,12
21,"Saturday, June 6, 2020",1,06:00-11:59,337422,23556,28,97852,7665,19
22,"Saturday, June 6, 2020",1,12:00-17:59,366752,12478,0,267728,12478,0
23,"Saturday, June 6, 2020",1,18:00-23:59,217525,3382,16,128339,3382,7
24,"Sunday, June 7, 2020",1,00:00-05:59,305561,29248,17,226115,4293,4
25,"Sunday, June 7, 2020",1,06:00-11:59,371092,12490,22,122460,2665,12
26,"Sunday, June 7, 2020",1,12:00-17:59,244900,2271,2,80817,472,0
27,"Sunday, June 7, 2020",1,18:00-23:59,397569,3845,1,266371,3845,0
28,"Monday, June 8, 2020",2,00:00-05:59,299936,25419,20,164964,1005,10
29,"Monday, June 8, 2020",2,06:00-11:59,330830,19973,17,198498,6224,7
30,"Monday, June 8, 2020",2,12:00-17:59,299829,24200,17,104940,526,7
31,"Monday, June 8, 2020",2,18:00-23:59,545227,39786,18,223543,10658,13
32,"Tuesday, June 9, 2020",2,00:00-05:59,358650,19231,8,208017,19124,3
33,"Tuesday, June 9, 2020",2,06:00-11:59,254228,24739,17,160163,8506,6
34,"Tuesday, June 9, 2020",2,12:00-17:59,442254,16740,17,229972,1308,4
35,"Tuesday, June 9, 2020",2,18:00-23:59,237915,13133,7,90407,4591,4
36,"Wednesday, June 10, 2020",2,00:00-05:59,380886,31590,33,224722,19131,12
37,"Wednesday, June 10, 2020",2,06:00-11:59,164032,10145,19,119743,820,9
38,"Wednesday, June 10, 2020",2,12:00-17:59,227181,19576,3,161298,1096,1
39,"Wednesday, June 10, 2020",2,18:00-23:59,379686,21921,21,261983,21921,8
40,"Thursday, June 11, 2020",2,00:00-05:59,433846,30567,5,160523,6481,1
41,"Thursday, June 11, 2020",2,06:00-11:59,377136,1728,22,263995,1728,16
42,"Thursday, June 11, 2020",2,12:00-17:59,348435,7940,26,153311,7940,10
43,"Thursday, June 11, 2020",2,18:00-23:59,329889,9546,6,164944,9546,2
44,"Friday, June 12, 2020",2,00:00-05:59,212147,1692,24,142138,564,15
45,"Friday, June 12, 2020",2,06:00-11:59,288015,6704,19,190089,1558,10
46,"Friday, June 12, 2020",2,12:00-17:59,313936,3170,23,150689,3170,11
47,"Friday, June 12, 2020",2,18:00-23:59,465712,12945,33,246827,12945,22
48,"Saturday, June 13, 2020",2,00:00-05:59,394361,25068,12,228729,7236,7
49,"Saturday, June 13, 2020",2,06:00-11:59,183695,6701,7,97358,2538,3
50,"Saturday, June 13, 2020",2,12:00-17:59,392408,14526,6,125570,8409,1
51,"Saturday, June 13, 2020",2,18:00-23:59,321491,6735,6,128596,4040,1
52,"Sunday, June 14, 2020",2,00:00-05:59,292307,7803,14,113999,3027,5
53,"Sunday, June 14, 2020",2,06:00-11:59,421167,39448,18,122138,1598,6
54,"Sunday, June 14, 2020",2,12:00-17:59,463099,30010,17,213025,13750,10
55,"Sunday, June 14, 2020",2,18:00-23:59,453128,27601,23,117813,5386,9
56,"Monday, June 15, 2020",3,00:00-05:59,276078,4724,15,171168,4724,4
57,"Monday, June 15, 2020",3,06:00-11:59,329078,23993,29,197446,18475,8
58,"Monday, June 15, 2020",3,12:00-17:59,393126,6423,12,153319,142,7
59,"Monday, June 15, 2020",3,18:00-23:59,457554,17362,42,283683,17362,21
60,"Tuesday, June 16, 2020",3,00:00-05:59,312082,30881,21,121711,6852,9
61,"Tuesday, June 16, 2020",3,06:00-11:59,341434,21851,6,85358,853,4
62,"Tuesday, June 16, 2020",3,12:00-17:59,249366,13888,4,72316,3887,3
63,"Tuesday, June 16, 2020",3,18:00-23:59,240379,16456,19,168265,8512,8
64,"Wednesday, June 17, 2020",3,00:00-05:59,441252,37191,12,286813,3799,6
65,"Wednesday, June 17, 2020",3,06:00-11:59,495624,38460,22,138774,4843,13
66,"Wednesday, June 17, 2020",3,12:00-17:59,352798,8080,19,137591,946,10
